Skill,skill_chinese,category,topic,PreKnowledge,
Read a map: cardinal directions,阅读地图：基本方向,Geography,geography,Identify oceans and continents,
Identify the experimental question,辨识实验问题,Designing experiments,science-and-engineering-practices,Identify questions that can be investigated with a set of materials,
"Classify the figure of speech: anaphora, antithesis, apostrophe, assonance, chiasmus, understatement",分类修辞手法：排比、对照、呼语、元音重复、倒装、轻描淡写,Literary devices,figurative-language,Identify similes and metaphors,
Evaluate tests of engineering-design solutions,评估工程设计解决方案的测试,Engineering practices,science-and-engineering-practices,,
Interpret figures of speech,解释修辞手法,Literary devices,figurative-language,Classify figures of speech,
"Animal adaptations: beaks, mouths, and necks",动物适应性：喙、口和颈部,Adaptations,biology,Introduction to adaptations,
Identify sentence fragments,识别句子片段,"Sentences, fragments, and run-ons",writing-strategies,,
"Is the sentence in the past, present, or future tense?",判断句子是过去时、现在时还是将来时,Verb tense,verbs,,
Identify physical and chemical changes,识别物理和化学变化,Physical and chemical change,chemistry,,
Identify the Thirteen Colonies,识别十三个殖民地,English colonies in North America,us-history,,
Identify vague pronoun references,识别含糊的代词指代,Pronouns,writing-strategies,"Is the sentence simple, compound, or complex?",
Capitalizing titles,标题大小写,Formatting,capitalization,,
Use guide words,使用指南词,Reference skills,reference-skills,Read and understand informational passages,
Weather and climate around the world,全球的天气和气候,Weather and climate,earth-science,What's the difference between weather and climate?##Use climate data to make predictions,Use climate data to make predictions
Use Punnett squares to calculate probabilities of offspring types,使用孟德尔方格计算后代类型的概率,Genes to traits,biology,Genetics vocabulary: genotype and phenotype,
Genetics vocabulary: dominant and recessive,遗传学词汇：显性和隐性,Genes to traits,biology,,
Identify how particle motion affects temperature and pressure,识别粒子运动如何影响温度和压力,Particle motion and energy,physics,,
Compare physical and chemical changes,比较物理和化学变化,Physical and chemical change,chemistry,Identify physical and chemical changes,
Interpret food webs II,解释食物网 II,Ecological interactions,biology,Interpret food webs I,
Interpret food webs II,解释食物网 II,Ecosystems,biology,Interpret food webs I,
Compare concentrations of solutions,比较溶液的浓度,Solutions,chemistry,,
Compare strengths of magnetic forces,比较磁力的强度,Magnets,physics,Compare magnitudes of magnetic forces,
Choose units of time,选择时间单位,Units and measurement,units-and-measurement,,
Classify the figure of speech: review,复习修辞手法的分类,Literary devices,figurative-language,Classify figures of speech,
Animal adaptations: feet and limbs,动物适应性：脚和肢体,Adaptations,biology,Introduction to adaptations,
Choose metric units of volume,选择公制体积单位,Units and measurement,units-and-measurement,,
Describe and construct flowering plant life cycles,描述和构建开花植物生命周期,Plants,biology,How do flowering plants make new plants?,
Suggest appropriate revisions,建议适当的修订,Editing and revising,writing-strategies,Read and understand informational passages,
Inherited and acquired traits: use evidence to support a statement,遗传和获得性特征：用证据支持陈述,Traits and heredity,biology,Identify inherited and acquired traits,
Identify properties of an object,识别物体的属性,Materials,physics,,
Identify state capitals of the Southeast,识别东南部的州首府,State capitals,geography,,
Analyze data to compare properties of planets,分析数据比较行星的属性,Astronomy,earth-science,Analyze models of the Earth-Sun-Moon system,
Identify inherited and acquired traits,识别遗传和获得性特征,Heredity,biology,,
Identify solids and liquids,识别固体和液体,States of matter,physics,,
Compare properties of objects,比较物体的属性,Materials,physics,Identify properties of an object,
Inherited and acquired traits: use evidence to support a statement,使用证据支持遗传和获得性特征的陈述,Heredity,biology,Identify inherited and acquired traits,
Identify state capitals of the Northeast,识别东北部的州首府,State capitals,geography,,
World War I: events of the war,第一次世界大战：战争事件,20th century American history,world-history,World War I: the war begins,
